# Found 1672 good books out of 10806 checked
# book_id,title,author,tokens
24029,冷眼观,Junqing Wang,27291
11431,Character Sketches of Romance; Fiction and the Drama; Vol. 1,Ebenezer Cobham Brewer,27031
43032,The Catholic World; Vol. 04; October; 1866 to March; 1867,Various,27030
33396,Ο Βίος του Χριστού,F. W. Farrar,26436
13552,Ceylon; an Account of the Island Physical; Historical; and,Sir James Emerson Tennent,25893
40739,Die Traumdeutung,Sigmund Freud,25781
13920,Kevät ja takatalvi,Juhani Aho,25563
11275,The Anti-Slavery Examiner; Omnibus,American Anti-Slavery Society,25233
43868,Introduction to the Literature of Europe in the Fifteenth; Sixteenth; and Seventeenth Centuries; Vol. 1,Henry Hallam,25196
44608,The Bābur-nāma in English (Memoirs of Bābur),Emperor of Hindustan Babur,24922
30904,Glossaire du patois normand,Louis Du Bois,24883
44028,The Every Day Book of History and Chronology,Joel Munsell,24444
2100,Bibeln; Gamla och Nya Testamentet,Unknown Author,24247
44578,Bentley's Miscellany; Volume I,Various,24133
667,The Gutenberg Webster's Unabridged Dictionary: Section R,Project Gutenberg,24122
42808,The Native Races [of the Pacific states]; Volume 2; Civilized Nations,Hubert Howe Bancroft,23697
34117,Beowulf: An Introduction to the Study of the Poem with a Discussion of the Stories of Offa and Finn,R. W. Chambers,23492
44833,Chaucer's Works; Volume 2 — Boethius and Troilus,Geoffrey Chaucer,23392
32423,Encyclopaedia Britannica; 11th Edition; "Coucy-le-Château" to "Crocodile",Various,23301
24231,韓湘子全傳,active 17th century Erzeng Yang,23144
43575,Annali d'Italia; vol. 2,Lodovico Antonio Muratori,23131
1301,The French Revolution: A History,Thomas Carlyle,23079
11940,Seitsemän veljestä,Aleksis Kivi,22417
1662,The 1997 CIA World Factbook,United States. Central Intelligence Agency,22379
11317,De Aarde en haar Volken; Jaargang 1877,Various,22315
20228,Noli Me Tangere,José Rizal,22256
32600,History of the Reign of Philip the Second; King of Spain; Vols. 1 and 2,William Hickling Prescott,22156
42770,The Story of My Life; volumes 4-6,Augustus J. C. Hare,22119
24511,Helenan perhe,Elizabeth Rundle Charles,21922
43579,An Introduction to Entomology: Vol. 4,William Kirby,21882
23972,The Book of Humorous Verse,Unknown Author,21799
571,The 1995 CIA World Factbook,United States. Central Intelligence Agency,21586
12182,Veneh'ojalaiset,Arvid Järnefelt,21314
31278,The History of Freedom; and Other Essays,Baron John Emerich Edward Dalberg Acton Acton,21286
44070,Le ménagier de Paris (v. 1 & 2),Anonymous,21262
1619,La Celestina,Fernando de Rojas,21228
22049,A Literary History of the English People; from the Origins to the Renaissance,J. J. Jusserand,21107
34225,Zápisky z mrtvého domu,Fyodor Dostoyevsky,20974
13428,Valitut teokset 1910-1922,Eino Kaila,20932
34751,Encyclopaedia Britannica; 11th Edition; "Dübner; Johann Friedrich" to "Dyeing",Various,20931
13240,A Short Biographical Dictionary of English Literature,John W. Cousin,20896
44621,Motion Pictures; 1960-1969: Catalog of Copyright Entries,Library of Congress. Copyright Office,20876
42048,Encyclopaedia Britannica; 11th Edition; "Lefebvre; Tanneguy" to "Letronne; Jean Antoine",Various,20680
43987,Die drei Sprünge des Wang-lun: Chinesischer Roman,Alfred Döblin,20661
34595,The English Language,R. G. Latham,20651
20450,The Lives of the Fathers; Martyrs; and Other Principal Saints. January; February; March,Alban Butler,20647
43890,Erämaan nuijamiehet: Historiallinen romaani,Santeri Ivalo,20595
43717,Uusi suomalainen lukemisto,Unknown Author,20540
673,Unknown Title,Unknown Author,20537
44638,Plant Lore; Legends; and Lyrics,Richard Folkard,20461
21053,An anthology of German literature,Calvin Thomas,20403
20484,Real Life In London; Volumes I. and II.,active 1816-1830 John Badcock,20362
40486,Uusi tilanhaltia,Mór Jókai,20333
41773,Encyclopaedia Britannica; 11th Edition; "Lamennais; Robert de" to "Latini; Brunetto",Various,20144
42736,Encyclopaedia Britannica; 11th Edition; "Malta" to "Map; Walter",Various,20139
13325,Sketches of the Natural History of Ceylon,Sir James Emerson Tennent,20133
42638,Encyclopaedia Britannica; 11th Edition; "Map" to "Mars",Various,20100
30171,Vertellingen van vroeger en later tijd,J. van Lennep,20096
33378,Au soleil de juillet (1829-1830),Paul Adam,20078
32758,Encyclopaedia Britannica; 11th Edition; "Dodwell; Edward" to "Drama",Various,20000
43254,Encyclopaedia Britannica; 11th Edition; "Luray Cavern" to "Mackinac Island",Various,19977
43603,Népmesék Heves- és Jász-Nagykun-Szolnok-megyéből; Magyar népköltési gyüjtemény 9. kötet,János Berze Nagy,19903
40540,The Complete Opera Book,Gustav Kobbé,19883
40863,Encyclopaedia Britannica; 11th Edition; "Justinian II." to "Kells",Various,19865
31713,Geschichte der Ilchane; das ist der Mongolen in Persien,Freiherr von Joseph Hammer-Purgstall,19791
31078,Curiosities of Literature; Vol. 3,Isaac Disraeli,19781
43978,Uudesta Maailmasta: Hajanaisia matkakuvia Amerikasta,friherrinna Alexandra Gripenberg,19755
14300,The Life of Napoleon I (Complete),J. Holland Rose,19742
42525,Anciennes loix des François; conservées dans les coutumes angloises; recueillies par Littleton; Vol. I,Sir Thomas Littleton,19726
21920,The Last Poems of Ovid,Ovid,19712
22815,The Philippine Islands,F.R.G.S. John Foreman,19681
33189,Encyclopaedia Britannica; 11th Edition; "Carnegie Andrew" to "Casus Belli",Various,19666
21615,Curiosities of Literature; Vol. 1,Isaac Disraeli,19662
40641,Encyclopaedia Britannica; 11th Edition; "Kite-Flying" to "Kyshtym",Various,19526
42552,Encyclopaedia Britannica; 11th Edition; "Mars" to "Matteawan",Various,19480
23654,Mémoires d'Outre-Tombe; Tome 2,vicomte de François-René Chateaubriand,19362
41382,Claus Störtebecker,Georg Engel,19357
30745,Calamities and Quarrels of Authors,Isaac Disraeli,19342
32607,Encyclopaedia Britannica; 11th Edition; "Diameter" to "Dinarchus",Various,19280
10117,Den siste Atenaren,Viktor Rydberg,19203
32783,Encyclopaedia Britannica; 11th Edition; "Drama" to "Dublin",Various,19198
44209,A History of the Inquisition of Spain; vol. 4,Henry Charles Lea,19192
1323,History of the Conquest of Peru,William Hickling Prescott,19173
42524,L'ingénieux chevalier Don Quichotte de la Manche,Miguel de Cervantes Saavedra,19169
34047,Encyclopaedia Britannica; 11th Edition; "Apollodorus" to "Aral",Various,19109
32182,Encyclopaedia Britannica; 11th Edition; "Coquelin; Benoît Constant" to "Costume",Various,19104
24049,韩非子,Fei Han,19085
42286,Álomvilág: Elbeszélések,Zoltán Ambrus,19068
34533,Encyclopaedia Britannica; 11th Edition; "Bedlam" to "Benson; George",Various,19027
31855,Encyclopaedia Britannica; 11th Edition; "Cockaigne" to "Columbus; Christopher",Various,18947
12802,Vanha tarina Montrosesta,Walter Scott,18925
40156,Encyclopaedia Britannica; 11th Edition; "Ichthyology" to "Independence",Various,18894
41983,The Book of Curiosities,John Platts,18838
10814,Legends; Tales and Poems,Gustavo Adolfo Bécquer,18832
42212,Aloisiæ Sigeæ Toletanæ Satyra Sotadica de arcanis Amoris et Veneris,Johannes van Meurs,18775
2981,The Memoirs of Jacques Casanova de Seingalt; 1725-1798. Complete,Giacomo Casanova,18718
505,History of the Warfare of Science with Theology in Christendom,Andrew Dickson White,18661
40435,Plato and the Other Companions of Sokrates; 3rd ed. Volume 1,George Grote,18629
33764,De Reis om de Wereld,Charles Darwin,18593
40935,A Greek-English Lexicon to the New Testament,William Greenfield,18591
41567,Encyclopaedia Britannica; 11th Edition; "Letter" to "Lightfoot; John",Various,18555
13594,Portraits littéraires; Tome I,Charles Augustin Sainte-Beuve,18553
735,History of the Decline and Fall of the Roman Empire — Volume 5,Edward Gibbon,18552
41006,The Fairy Mythology,Thomas Keightley,18544
42173,Encyclopaedia Britannica; 11th Edition; "Liquid Gases" to "Logar",Various,18517
34116,Encyclopaedia Britannica; 11th Edition; "Arculf" to "Armour; Philip",Various,18507
32798,Légendes et curiosités des métiers,Paul Sébillot,18486
44354,Dictionnaire de nos fautes contre la langue française,Raoul Rinfret,18464
41264,Encyclopaedia Britannica; 11th Edition; "Jacobites" to "Japan" (part),Various,18460
732,History of the Decline and Fall of the Roman Empire — Volume 2,Edward Gibbon,18456
13220,Library of the World's Best Literature; Ancient and Modern — Volume 04,Unknown Author,18426
10673,The Principal Navigations; Voyages; Traffiques and Discoveries of the English Nation — Volume 09,Richard Hakluyt,18390
42463,La Vie de Madame Élisabeth; soeur de Louis XVI; Volume 2,A. de Beauchesne,18358
33052,Encyclopaedia Britannica; 11th Edition; "Camorra" to "Cape Colony",Various,18353
41287,Geschiedenis der Noordsche Compagnie,Samuel Muller,18332
42798,Les guêpes ­— séries 3 & 4,Alphonse Karr,18256
30282,Early English Alliterative Poems,Unknown Author,18251
43443,Elbeszélések,Gergely Csiky,18249
41156,Encyclopaedia Britannica; 11th Edition; "Japan" (part) to "Jeveros",Various,18230
34162,Encyclopaedia Britannica; 11th Edition; "Armour Plates" to "Arundel; Earls of",Various,18214
20854,Muuan suomalainen soturi Kristiina kuningattaren aikakaudella,Evald Ferdinand Jahnsson,18212
43737,A Middle English Vocabulary; Designed for use with Sisam's Fourteenth Century Verse & Prose,J. R. R. Tolkien,18198
34612,Encyclopaedia Britannica; 11th Edition; "Bent; James" to "Bibirine",Various,18178
41687,How France Built Her Cathedrals: A Study in the Twelfth and Thirteenth Centuries,Elizabeth Boyle O'Reilly,18093
30896,When Ghost Meets Ghost,William De Morgan,18092
44969,The English and Scottish popular ballads; volume 1 (of 5),Unknown Author,18041
34074,The New Gresham Encyclopedia. Amiel to Atrauli,Various,18021
41766,The Jesuits; 1534-1921,Thomas J. Campbell,17990
40780,Our Legal Heritage: King AEthelbert - King George III; 600 A.D. - 1776,S. A. Reilly,17954
14692,Portraits littéraires; Tome III,Charles Augustin Sainte-Beuve,17912
42108,The slang dictionary,John Camden Hotten,17896
1365,The Complete Poetical Works of Henry Wadsworth Longfellow,Henry Wadsworth Longfellow,17891
25,The 1991 CIA World Factbook,United States. Central Intelligence Agency,17869
2383,The Canterbury Tales; and Other Poems,Geoffrey Chaucer,17797
41055,Encyclopaedia Britannica; 11th Edition; "Jevons; Stanley" to "Joint",Various,17760
33365,Encyclopaedia Britannica; 11th Edition; "Cerargyrite" to "Charing Cross",Various,17747
23333,Ein Mann,Joachim Nettelbeck,17701
41775,Cornish Characters and Strange Events,S. Baring-Gould,17701
23907,無聲戲,Yu Li,17678
13376,Our Legal Heritage; King AEthelbert; 596 to King George III; 1775,S. A. Reilly,17668
11800,U.S. Copyright Renewals 1950 - 1977,Library of Congress. Copyright Office,17652
40761,Marianne-rouva: Romaani,Victoria Benedictsson,17632
44555,Systematic Theology (Volume 2 of 3),Augustus Hopkins Strong,17630
24687,Alroy: Romani,Earl of Beaconsfield Benjamin Disraeli,17607
2600,War and Peace,graf Leo Tolstoy,17586
10055,Hamburgische Dramaturgie,Gotthold Ephraim Lessing,17550
42342,Encyclopaedia Britannica; 11th Edition; "Logarithm" to "Lord Advocate",Various,17523
11119,Personal Memoirs of a Residence of Thirty Years with the Indian Tribes on the American Frontiers,Henry Rowe Schoolcraft,17495
31329,Encyclopaedia Britannica; 11th Edition; "Chicago; University of" to "Chiton",Various,17469
736,History of the Decline and Fall of the Roman Empire — Volume 6,Edward Gibbon,17446
12930,Publications of the Scottish History Society; Volume 36,Lord John Lauder Fountainhall,17403
44851,Thirty Years' View (Vol. 1 of 2),Thomas Hart Benton,17377
12218,Pastoral Poetry & Pastoral Drama,W. W. Greg,17377
13737,George Sand et ses amis,Albert Le Roy,17352
44021,Feudal England: Historical Studies on the Eleventh and Twelfth Centuries,John Horace Round,17333
41101,Histoire de la Littérature Anglaise (Volume 3 de 5),Hippolyte Taine,17326
43352,A History of English Versification,J. Schipper,17326
44292,The Bruce,John Barbour,17314
41343,Encyclopaedia Britannica; 11th Edition; "Italy" to "Jacobite Church",Various,17283
40193,Histoire de la Monarchie de Juillet (Volume 1 / 7),Paul Thureau-Dangin,17259
42647,Old and New Paris: Its History; Its People; and Its Places; v. 2,H. Sutherland Edwards,17243
32975,Encyclopaedia Britannica; 11th Edition; "Calhoun" to "Camoens",Various,17214
13028,Library of the World's Best Literature; Ancient and Modern — Volume 03,Unknown Author,17211
24467,De Pleegzoon,J. van Lennep,17180
42587,The Grey Friars in Oxford,A. G. Little,17176
40798,A History of the Reformation (Vol. 2 of 2),Thomas M. Lindsay,17149
24127,Peñas arriba,José María de Pereda,17125
23475,The Works of Lord Byron. Vol. 5,Baron George Gordon Byron Byron,17123
24919,Amor Crioulo,Abel Acácio de Almeida Botelho,17119
12921,Gesammelte Werke in fünf Bänden — 1. Band,Bjørnstjerne Bjørnson,17102
21090,Brief History of English and American Literature,Henry A. Beers,17074
24253,Folkways,William Graham Sumner,17067
34759,A vörös regina: regény,Árpád Abonyi,17063
14587,The Crest-Wave of Evolution,Kenneth Morris,16998
41322,Histoire de ma Vie; Livre 2 (Vol. 5 - 9),George Sand,16965
41503,De Slavernij: Vervolg en Sleutel op De Negerhut,Harriet Beecher Stowe,16949
42609,Pikku mies,Alphonse Daudet,16905
13690,Aus meinem Leben — Zweiter Teil,August Bebel,16857
733,History of the Decline and Fall of the Roman Empire — Volume 3,Edward Gibbon,16820
30605,Spagna,Edmondo De Amicis,16811
34073,The New Gresham Encyclopedia. A to Amide,Various,16785
40096,Encyclopaedia Britannica; 11th Edition; "Independence; Declaration of" to "Indo-European Languages",Various,16773
34075,The New Gresham Encyclopedia. Atrebates to Bedlis,Various,16717
24869,The Rámáyan of Válmíki; translated into English verse,Valmiki,16706
44860,The Comic History of England,Gilbert Abbott À Beckett,16689
32816,Szirmay Ilona: Történeti regény,József Gaal,16688
24882,Privateering and Piracy in the Colonial Period,Unknown Author,16654
13769,Lohilastuja ja kalakaskuja,Juhani Aho,16645
32977,From Sea to Sea; Letters of Travel,Rudyard Kipling,16638
2332,Critical and Historical Essays — Volume 1,Baron Thomas Babington Macaulay Macaulay,16545
20872,The Best Short Stories of 1917; and the Yearbook of the American Short Story,"The,16539
42593,A History of American Literature Since 1870,Fred Lewis Pattee,16515
33157,Voyage en Espagne,Théophile Gautier,16501
40438,Plato and the Other Companions of Sokrates; 3rd ed. Volume 4,George Grote,16489
43396,The Desert World,Arthur Mangin,16473
11273,The Anti-Slavery Examiner; Part 3 of 4,American Anti-Slavery Society,16439
42083,Chaucer's Translation of Boethius's "De Consolatione Philosophiae",Boethius,16421
22094,Travels in the Great Desert of Sahara; in the Years of 1845 and 1846,James Richardson,16401
10706,The History of Rome (Volumes 1-5),Theodor Mommsen,16399
42661,The Golden Bough: A Study in Magic and Religion (Third Edition; Vol. 09 of 12),James George Frazer,16395
30751,De Geschiedenis van Woutertje Pieterse; Deel 2,Multatuli,16386
42433,Warda: Roman uit het oude Egypte,Georg Ebers,16361
31793,Encyclopaedia Britannica; 11th Edition; "Clervaux" to "Cockade",Various,16332
23877,玉嬌梨,Tianhuazangzhuren,16330
32215,Ιστορία της Ρωμιοσύνης; Πρώτος τόμος,Argyris Eftaliotis,16310
14970,Academica,Marcus Tullius Cicero,16304
42935,De nijlbruid,Georg Ebers,16301
24512,Ons Heerlijk Vaderland (deel 2 van 4),Hendrik Blink,16295
20585,Sartor Resartus; and  On Heroes; Hero-Worship; and the Heroic in History,Thomas Carlyle,16274
14380,The Life of John Milton; Volume 5 (of 7); 1654-1660,David Masson,16268
10766,Enquire Within Upon Everything,Robert Kemp Philp,16260
30781,Dictionnaire raisonné de l'architecture française du XIe au XVIe siècle - Tome 1 - (A),Eugène-Emmanuel Viollet-le-Duc,16229
43023,La lotta politica in Italia; Volume 2 (of 3),Alfredo Oriani,16227
41873,The History of Prostitution: Its Extent; Causes; and Effects throughout the World,William W. Sanger,16226
40391,Der Dichter in Dollarica,Ernst von Wolzogen,16221
24536,Los cuatro jinetes del apocalipsis,Vicente Blasco Ibáñez,16221
1304,Bulchevy's Book of English Verse,Unknown Author,16216
40617,The Teaching and Cultivation of the French Language in England during Tudor and Stuart Times,K. Rebillon Lambley,16213
44443,Military schools and courses of instruction in the science and art of war;,Unknown Author,16196
12829,Abélard; Tome I,Charles de Rémusat,16165
34878,Encyclopaedia Britannica; 11th Edition; "Dyer; Sir Edward" to "Echidna",Various,16113
20778,Sylva; Or; A Discourse of Forest Trees. Vol. 1 (of 2),John Evelyn,16097
44504,L'Histoire de France racontée par les Contemporains (Tome 2/4),Unknown Author,16087
42680,Sixty Years in Southern California; 1853-1913,Harris Newmark,16054
44858,Kertomuksia Suomen historiasta V:2,Julius Krohn,16048
1184,The Count of Monte Cristo,Alexandre Dumas,16037
33385,Library of the World's Best Literature; Ancient and Modern — Volume 08,Unknown Author,16019
43271,The Works of Alexander Pope; Volume 2 (of 10),Alexander Pope,16015
30604,Les Rois Frères de Napoléon Ier,Albert Du Casse,16009
21091,The Life of William Ewart Gladstone; Vol. 1 (of 3),John Morley,15994
41924,Renaissance in Italy; Volume 2 (of 7),John Addington Symonds,15990
2481,The Civilization of Illiteracy,Mihai Nadin,15949
33454,Mathilde: mémoires d'une jeune femme,Eugène Sue,15907
40196,The Oxford Book of American Essays,Unknown Author,15903
10851,The Works of Charles and Mary Lamb — Volume 6,Charles Lamb,15884
13919,Muistelmia ja matkakuvia,Juhani Aho,15877
10631,Halleck's New English Literature,Reuben Post Halleck,15876
30211,Au Pays des Moines (Noli me Tangere),José Rizal,15856
23784,The History of Sir Richard Calmady: A Romance,Lucas Malet,15847
42094,Székelyföldi gyüjtés; Magyar népköltési gyüjtemény 7. kötet,Oszkár Mailand,15830
44636,The Mosaic History of the Creation of the World,Thomas Wood,15819
41253,History of the Reformation of the Sixteenth Century; Volume 3,J. H. Merle d'Aubigné,15804
41024,The Paston Letters; A.D. 1422-1509. Volume 3 (of 6),Unknown Author,15801
44957,Anna Karenina; 2. Band,Unknown Author,15779
12680,Children of the Ghetto: A Study of a Peculiar People,Israel Zangwill,15768
32262,English Verse: Specimens Illustrating its Principles and History,Raymond MacDonald Alden,15767
2650,Du côté de chez Swann,Marcel Proust,15753
41832,The Golden Bough: A Study in Magic and Religion (Third Edition; Vol. 03 of 12),James George Frazer,15749
31260,Napoléon et Alexandre Ier (2/3),Albert Vandal,15745
2612,The History of England; from the Accession of James II — Volume 3,Baron Thomas Babington Macaulay Macaulay,15731
44553,Letters of Samuel Taylor Coleridge; Vol. 1 (of 2),Samuel Taylor Coleridge,15731
12606,The Great Speeches and Orations of Daniel Webster,Daniel Webster,15730
40475,The Indian in his Wigwam; Or; Characteristics of the Red Race of America,Henry Rowe Schoolcraft,15723
44921,Die Cellularpathologie,Rudolf Virchow,15722
42776,Il secolo che muore; vol. II,Francesco Domenico Guerrazzi,15721
42220,History of Linn County Iowa,Luther Albertus Brewer,15718
24527,Fragments of Science: A Series of Detached Essays; Addresses; and Reviews. V. 1-2,John Tyndall,15711
20583,The Tribes and Castes of the Central Provinces of India; Volume 1,R. V. Russell,15711
32529,Διηγήματα,Emmanouel D. Rhoides,15687
43060,Encyclopaedia Britannica; 11th Edition; "McKinley; William" to "Magnetism; Terrestrial",Various,15686
44566,A History of Caricature and Grotesque in Literature and Art,Thomas Wright,15662
22042,Christmas: Its Origin and Associations,W. F. Dawson,15655
14472,Showell's Dictionary of Birmingham,Thomas T. Harman,15654
42824,Scenes and Characters of the Middle Ages,Edward Lewes Cutts,15641
33197,Döderlein's Hand-book of Latin Synonymes,Ludwig von Doederlein,15630
43309,Histoire de la Monarchie de Juillet (Volume 5 / 7),Paul Thureau-Dangin,15627
31950,Encyclopaedia Britannica; 11th Edition; "Columbus" to "Condottiere",Various,15618
34838,The Life of Napoleon Bonaparte. Vol. 4 (of 4),William Milligan Sloane,15611
34916,The Chainbearer; Or; The Littlepage Manuscripts,James Fenimore Cooper,15608
11024,Max Havelaar,Multatuli,15603
31636,Histoire littéraire d'Italie (2/9),Pierre Louis Ginguené,15563
22492,Reise in die Aequinoctial-Gegenden des neuen Continents. Band 1.,Alexander von Humboldt,15544
41810,A Spanish Anthology,Unknown Author,15542
42778,Il secolo che muore; vol. IV,Francesco Domenico Guerrazzi,15538
2577,The Ancient Regime,Hippolyte Taine,15537
30788,Dictionnaire raisonné de l'architecture française du XIe au XVIe siècle - Tome 8 - (Q suite - R - S),Eugène-Emmanuel Viollet-le-Duc,15529
145,Middlemarch,George Eliot,15516
34352,La Repubblica di Venezia e la Persia,Guglielmo Berchet,15513
1909,Darwin and Modern Science,A. C. Seward,15512
40478,Αττικαί ημέραι,Bampes Anninos,15492
23100,A Budget of Paradoxes; Volume I,Augustus De Morgan,15492
968,Martin Chuzzlewit,Charles Dickens,15453
32573,History of the Colony and Ancient Dominion of Virginia,Charles Campbell,15441
14517,France and England in North America; Part VI : Montcalm and Wolfe,Francis Parkman,15437
32902,Villa Eden: The Country-House on the Rhine,Berthold Auerbach,15408
13182,Prefaces and prologues to famous books,Unknown Author,15379
43990,A History of the Inquisition of Spain; vol. 2,Henry Charles Lea,15374
33332,De Ridderromantiek der Franse en Duitse Middeleeuwen,Vald. Vedel,15361
12012,Drei Gaugöttinnen,Ernst Ludwig Rochholz,15337
43735,The Oxford Reformers: John Colet; Erasmus; and Thomas More,Frederic Seebohm,15326
42060,The Town: Its Memorable Characters and Events,Leigh Hunt,15306
24746,Reise in die Aequinoctial-Gegenden des neuen Continents. Band 2.,Alexander von Humboldt,15301
21498,France and the Republic,William Henry Hurlbert,15288
34082,Encyclopaedia Britannica; 11th Edition; "Aram; Eugene" to "Arcueil",Various,15280
44669,The Jesuit Relations and Allied Documents; Vol. 1: Acadia; 1610-1613,Unknown Author,15264
41601,Magyarhon szépségei; A legvitézebb huszár,Mór Jókai,15261
1349,Russia,Donald Mackenzie Wallace,15244
23881,The History of "Punch",M. H. Spielmann,15239
24980,William Pitt and the Great War,J. Holland Rose,15237
41948,Guida delle Prealpi Giulie,Olinto Marinelli,15231
11070,La Fontana de Oro,Benito Pérez Galdós,15226
30486,Shirley,Charlotte Brontë,15224
1039,Missionary Travels and Researches in South Africa,David Livingstone,15222
32536,Baskervillen koira,Arthur Conan Doyle,15221
31100,The Complete Project Gutenberg Works of Jane Austen,Jane Austen,15206
22119,The Satires of A. Persius Flaccus,Persius,15194
38,The Jargon File; Version 2.9.10; 01 Jul 1992,Unknown Author,15185
12864,A Collection of College Words and Customs,Benjamin Homer Hall,15184
2613,The History of England; from the Accession of James II — Volume 4,Baron Thomas Babington Macaulay Macaulay,15184
42637,Histoire de la Monarchie de Juillet (Volume 3 / 7),Paul Thureau-Dangin,15178
31432,Histoire littéraire d'Italie (1/9),Pierre Louis Ginguené,15175
23021,Sang Nova,Marià Vayreda,15173
44489,Der Tunnel: Roman,Bernhard Kellermann,15165
22400,Fox's Book of Martyrs,John Foxe,15149
10770,The Former Philippines Thru Foreign Eyes,Tomás de Comyn,15143
11208,De legende en de heldhaftige; vroolijke en roemrijke daden van Uilenspiegel en Lamme Goedzak in Vlaanderenland en elders,Charles de Coster,15132
580,The Pickwick Papers,Charles Dickens,15104
24246,Greener Than You Think,Ward Moore,15087
34803,Les grandes chroniques de France (2/6),Unknown Author,15080
41943,Madame de Longueville: La Jeunesse de Madame de Longueville,Victor Cousin,15069
43707,Finger-ring lore,F.S.A. William Jones,15067
10705,The History of Rome; Book V,Theodor Mommsen,15059
12733,Tokyo to Tijuana: Gabriele Departing America,Steven David Justin Sills,15045
20102,The International Monthly Magazine - Volume V - No II,Various,15042
32510,The Life of William Ewart Gladstone; Vol. 2 (of 3),John Morley,15012
41821,Politica estera: memorie e documenti,Francesco Crispi,14998
22591,A Political History of the State of New York; Volumes 1-3,De Alva Stanwood Alexander,14993
34010,The History and Antiquities of the Doric Race; Vol. 2 of 2,Karl Otfried Müller,14984
43698,Les français au pôle Nord,Louis Boussenard,14980
11048,La Presse Clandestine dans la Belgique Occupée,Jean Massart,14979
32424,Arthur O'Leary: His Wanderings And Ponderings In Many Lands,Charles James Lever,14977
40417,Zeemans-Woordeboek,J. van Lennep,14965
40437,Plato and the Other Companions of Sokrates; 3rd ed. Volume 3,George Grote,14960
20124,Béarn and the Pyrenees,Louisa Stuart Costello,14938
13214,Anna Karenina,graf Leo Tolstoy,14936
13819,Les compagnons de Jéhu,Alexandre Dumas,14911
20864,La foire aux vanités; Tome II,William Makepeace Thackeray,14907
23958,The Romance of Words (4th ed.),Ernest Weekley,14907
1745,The Poetical Works of John Milton,John Milton,14905
44218,Musta tulpaani: Romaani,Alexandre Dumas,14904
11329,Lands of the Slave and the Free; Or; Cuba; the United States; and Canada,Henry A. Murray,14902
10600,A General History and Collection of Voyages and Travels — Volume 01,Robert Kerr,14875
12457,El Diablo Cojuelo,Luis Vélez de Guevara,14870
13171,Tapani Löfvingin seikkailut,Kyösti Wilkuna,14859
10357,Life of Johnson; Volume 4,James Boswell,14838
44562,A Dictionary of Arts; Manufactures and Mines,Andrew Ure,14836
34912,Woman in Science,J. A. Zahm,14831
43792,The History of Modern Painting; Volume 1 (of 4),Richard Muther,14815
32528,The Lusiad; Or; The Discovery of India; an Epic Poem,Luís de Camões,14811
